EC / List No.,CAS No.,Name,Registration Type,Submission Type,Total Tonnage Band,Dossier ID,Link
234-129-0,10545-99-0,sulphur dichloride,Intermediate,Joint Submission,Intermediate Use Only,DISS-d0199967-a01e-44d5-e044-00144f67d249,Dossier
234-147-9,10563-26-5,"N,N'-bis(3-aminopropyl)ethylenediamine",Full,Joint Submission,100 + tonnes per annum,DISS-dffb4072-e3eb-47ae-e044-00144f67d031,Dossier
234-147-9,10563-26-5,"N,N'-bis(3-aminopropyl)ethylenediamine",Intermediate,Individual Submission,Intermediate Use Only,DISS-e7627168-f831-63fd-e044-00144f67d031,Dossier
234-148-4,10563-29-8,"N'-(3-aminopropyl)-N,N-dimethylpropane-1,3-diamine",Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dcee0e63-3db7-5d15-e044-00144f67d031,Dossier
234-186-1,10584-98-2,"2-ethylhexyl 4,4-dibutyl-10-ethyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9c7a5a14-79b2-4c96-e044-00144f67d249,Dossier
234-190-3,10588-01-9,sodium dichromate,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-a2148ecd-3f22-4205-e044-00144f67d031,Dossier
234-196-6,10591-84-1,"N,N'-dimethyldiphenylthiuram disulphide",Full,Joint Submission,1 - 10 tonnes per annum,DISS-dcee1185-8113-5e08-e044-00144f67d031,Dossier
234-204-8,10595-49-0,methyl trimethyl-3-[(1-oxododecyl)amino]propylammonium sulphate,Full,Joint Submission,10 - 100 tonnes per annum,DISS-dffb4072-e38b-47ae-e044-00144f67d031,Dossier
234-205-3,10595-60-5,"N,N'-bis(1,3-dimethylbutylidene)-2,2'-iminobis(ethylamine)",Intermediate,Joint Submission,Intermediate Use Only,DISS-dffb4072-e450-47ae-e044-00144f67d031,Dossier
234-205-3,10595-60-5,"N,N'-bis(1,3-dimethylbutylidene)-2,2'-iminobis(ethylamine)",Intermediate,Joint Submission,Intermediate Use Only,DISS-e1a0ab01-db8b-2fde-e044-00144f67d031,Dossier
234-217-9,10599-90-3,chloramide,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-e18edfe9-030b-58ce-e044-00144f67d031,Dossier
234-234-1,10605-40-0,chloro(3-chloropropyl)dimethylsilane,Intermediate,Individual Submission,Intermediate Use Only,DISS-bde05b2e-3826-45e0-e044-00144f67d031,Dossier
234-277-6,11059-65-7,zinc bis[bis(tetrapropylenephenyl)] bis(hydrogen dithiophosphate),Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e2df-47ae-e044-00144f67d031,Dossier
234-290-7,"11070-44-3,  ",tetrahydromethylphthalic anhydride,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9eb57073-78a5-0dae-e044-00144f67d031,Dossier
234-294-9,11071-47-9,isooctene,Intermediate,Joint Submission,Intermediate Use Only,DISS-9eba8c4e-8c61-082b-e044-00144f67d031,Dossier
234-294-9,11071-47-9,isooctene,Intermediate,Individual Submission,Intermediate Use Only,DISS-a134718e-b38f-66d3-e044-00144f67d031,Dossier
234-319-3,11097-59-9,[carbonato(2-)]hexadecahydroxybis(aluminium)hexamagnesium,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9e9be13b-f254-635a-e044-00144f67d031,Dossier
234-329-8,11103-86-9,potassium hydroxyoctaoxodizincatedichromate(1-),Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-9ea8294a-2994-314f-e044-00144f67d031,Dossier
